
Barkhad Abdi
Elsa Lanchester

Martin Landau

Diane Lane

Hope Lange

Jessica Lange

Frank Langella

Angela Lansbury

Brie Larson

Queen Latifah

Charles Laughton

Piper Laurie

Jude Law

Jennifer Lawrence

Eva Le Gallienne

Cloris Leachman

Heath Ledger

Peggy Lee

Andrea Leeds

Janet Leigh

Jennifer Jason Leigh

Vivien Leigh

Margaret Leighton

Jack Lemmon

Lotte Lenya

Melissa Leo


Jared Leto

Juliette Lewis

Laura Linney

John Lithgow

Sondra Locke

Gene Lockhart

Robert Loggia

Carole Lombard

Sophia Loren

Joan Lorring

Bessie Love

Paul Lukas

Alfred Lunt

Ali MacGraw

Shirley MacLaine

Aline MacMahon


Amy Madigan

Virginia Madsen

Anna Magnani

Marjorie Main


Karl Malden

John Malkovich

Dorothy Malone

Joe Mantell

Lesley Manville

Rooney Mara

Fredric March

Colette Marchand

John Marley

Lee Marvin

James Mason

Marsha Mason


Raymond Massey


Marcello Mastroianni

Marlee Matlin

Walter Matthau

Rachel McAdams

Mercedes McCambridge


Melissa McCarthy

Matthew McConaughey

Patty McCormack

Hattie McDaniel

Mary McDonnell


Elizabeth McGovern

Dorothy McGuire

Ian McKellen

Victor McLaglen

Maggie McNamara

Steve McQueen

Janet McTeer

Kay Medford

Adolphe Menjou

Vivien Merchant

Melina Mercouri

Burgess Meredith

Una Merkel

Laurie Metcalf

Bette Midler

Sarah Miles

Sylvia Miles

Penelope Milford

Ray Milland


John Mills

Sal Mineo

Liza Minnelli

Helen Mirren


Robert Mitchum


Fernanda Montenegro


Ron Moody

Dudley Moore

Grace Moore

Juanita Moore

Julianne Moore

Mary Tyler Moore


Agnes Moorehead

Rita Moreno

Frank Morgan

Cathy Moriarty

Pat Morita

Robert Morley

Chester Morris

Viggo Mortensen

Samantha Morton


Carey Mulligan

Paul Muni

Eddie Murphy

Bill Murray



Mildred Natwick

Patricia Neal

Liam Neeson

Ruth Negga

Kate Nelligan

Paul Newman


Jack Nicholson

David Niven

Nick Nolte

Edward Norton










Jack Oakie

Merle Oberon

Sophie Okonedo


Lena Olin

Edna May Oliver

Laurence Olivier

Edward James Olmos

Nancy Olson

Haley Joel Osment

Maria Ouspenskaya

Clive Owen

Al Pacino

Ellen Page

Geraldine Page

Jack Palance

Chazz Palminteri

Gwyneth Paltrow

Anna Paquin

Eleanor Parker

Larry Parks

Estelle Parsons

Dev Patel

Marisa Pavan

Katina Paxinou

David Paymer

Gregory Peck

Sean Penn

Rosie Perez

Anthony Perkins

Valerie Perrine

Joe Pesci

Susan Peters

Michelle Pfeiffer

Joaquin Phoenix

River Phoenix

Mary Pickford

Walter Pidgeon

Rosamund Pike

Brad Pitt

Joan Plowright

Christopher Plummer

Sidney Poitier


Natalie Portman

Pete Postlethwaite

William Powell


Randy Quaid

Anthony Quayle

Kathleen Quinlan

Anthony Quinn

Luise Rainer

Claude Rains

Marjorie Rambeau

Charlotte Rampling

Anne Ramsey

Basil Rathbone

Stephen Rea

Robert Redford

Lynn Redgrave

Michael Redgrave

Vanessa Redgrave

Joyce Redman

Eddie Redmayne

Donna Reed


Lee Remick

Jeremy Renner

Anne Revere

Burt Reynolds

Debbie Reynolds

Beah Richards

Miranda Richardson

Ralph Richardson

Thelma Ritter

Emmanuelle Riva

Jason Robards

Margot Robbie

Tim Robbins

Eric Roberts

Julia Roberts


Cliff Robertson

Flora Robson

May Robson


Ginger Rogers

Howard Rollins

Saoirse Ronan

Mickey Rooney

Diana Ross

Katharine Ross

Tim Roth

Mickey Rourke

Gena Rowlands

Mercedes Ruehl

Mark Ruffalo

Geoffrey Rush

Harold Russell

Rosalind Russell

Margaret Rutherford

Amy Ryan

Robert Ryan

Winona Ryder

Mark Rylance

Eva Marie Saint

George Sanders

Catalina Sandino Moreno

Chris Sarandon

Susan Sarandon

Telly Savalas

Diana Scarwid

Roy Scheider

Maximilian Schell

Joseph Schildkraut

Paul Scofield


Martha Scott

Kristin Scott Thomas

George Segal

Peter Sellers


Michael Shannon

Omar Sharif


Norma Shearer

Sam Shepard

Talia Shire


Elisabeth Shue

Gabourey Sidibe

Sylvia Sidney

Simone Signoret


Jean Simmons

Frank Sinatra

Gary Sinise

Lilia Skala

Maggie Smith

Will Smith

Carrie Snodgress

Gale Sondergaard

Mira Sorvino

Ann Sothern

Sissy Spacek

Kevin Spacey

Octavia Spencer

June Squibb

Robert Stack

Sylvester Stallone

Terence Stamp

Kim Stanley

Barbara Stanwyck

Maureen Stapleton

Imelda Staunton

Mary Steenburgen

Rod Steiger

Hailee Steinfeld

James Stephenson

Jan Sterling

James Stewart

Dean Stockwell

Emma Stone

Lewis Stone

Sharon Stone

Beatrice Straight

Lee Strasberg

David Strathairn


Meryl Streep

Barbra Streisand

Erich von Stroheim

Gloria Stuart

Margaret Sullavan

Janet Suzman

Hilary Swank

Gloria Swanson

Tilda Swinton

Russ Tamblyn

Akim Tamiroff

Jessica Tandy

Elizabeth Taylor

Charlize Theron

Emma Thompson

Billy Bob Thornton

Uma Thurman

Lawrence Tibbett

Gene Tierney

Jennifer Tilly

Meg Tilly

Richard Todd

Marisa Tomei

Lily Tomlin

Franchot Tone


Rip Torn

Lee Tracy

Spencer Tracy

Henry Travers

John Travolta

Claire Trevor

Massimo Troisi

Stanley Tucci

Tom Tully

Kathleen Turner

Lana Turner

Susan Tyrrell

Cicely Tyson

Liv Ullmann

Miyoshi Umeki

Mary Ure

Peter Ustinov

Brenda Vaccaro

Jo Van Fleet

Diane Varsi

Robert Vaughn

Alicia Vikander

Jon Voight

Max von Sydow

Mark Wahlberg

Christopher Walken


Julie Walters

Christoph Waltz

Jack Warden


Lesley Ann Warren

Denzel Washington

Ken Watanabe

Ethel Waters

Sam Waterston

Emily Watson

Lucile Watson

Naomi Watts

John Wayne

Jacki Weaver

Sigourney Weaver

Clifton Webb

Rachel Weisz

Tuesday Weld

Orson Welles

Oskar Werner

Forest Whitaker

Stuart Whitman

James Whitmore

May Whitty

Richard Widmark

Dianne Wiest

Jack Wild

Cornel Wilde

Gene Wilder

Tom Wilkinson

Cara Williams


Robin Williams

Chill Wills

Paul Winfield

Oprah Winfrey

Debra Winger

Mare Winningham
et -
Kate Winslet

Shelley Winters

Reese Witherspoon

Natalie Wood

Peggy Wood

Alfre Woodard

James Woods

Joanne Woodward

Monty Woolley

Teresa Wright

Margaret Wycherly

Jane Wyman

Ed Wynn

Diana Wynyard

Susannah York

Burt Young

Gig Young

Loretta Young

Roland Young

